pecha id,language,url
I0ECEED34,en,https://github.com/OpenPecha/I0ECEED34
I3FB49B0F,de,https://github.com/OpenPecha/I3FB49B0F
IB24D8BEF,es,https://github.com/OpenPecha/IB24D8BEF
I440468C3,fr,https://github.com/OpenPecha/I440468C3
I7DD1DA1D,it,https://github.com/OpenPecha/I7DD1DA1D
I5BA3C17B,nl,https://github.com/OpenPecha/I5BA3C17B
IF73CCFDD,pt,https://github.com/OpenPecha/IF73CCFDD
IF8841CCF,zh,https://github.com/OpenPecha/IF8841CCF
IFE6FE4FF,bo,https://github.com/OpenPecha/IFE6FE4FF
